id,name,latitude,longitude,country_code
n1378433259,Sultani Jami Hospital,34.41628,70.32291,AF
n1447844112,Rdat Hospital,34.257066,70.567894,AF
n1472171934,Kart-e-Sulh Health Clinic (Shuhada.Org),34.83233,67.787691,AF
n1512483958,Dara I Nur hospital,34.680962,70.606058,AF
n1513950686,Shadal Health Clinic,34.090597,70.664666,AF
n1524295334,غني خېل روغتون,34.214787,70.806777,AF
n1524299009,Agam hospital,34.207349,70.277431,AF
n1670191607,Mental Hospital,34.421503,70.436758,AF
n1732053101,Hesarak Darmaltoon(Hesarak Hospital,34.292964,69.797173,AF
n2370746337,Emergency Health Centre,36.674688,68.900772,AF
n3838780766,Emergency Health Centre,36.862264,70.258808,AF
n3838782822,Emergency Health Centre,36.862263,70.258806,AF
n3838783612,Emergency Health Centre,36.862264,70.25881,AF
n3838783780,Emergency Health Centre,36.86226,70.258806,AF
n3838784200,Emergency Health Centre,36.862261,70.25881,AF
n3838784452,Emergency Health Centre,36.862265,70.258805,AF
n3838785195,Emergency Health Centre,36.862264,70.258807,AF
n4417477390,ریاست صحت عامه جوزجان,36.665092,65.757591,AF
n4628588406,Kerman HF,34.463045,66.51827,AF
n4628631282,Garam Ab Health Facility,34.455587,65.952538,AF
n4628636911,Safed Ab HF,34.659865,66.334031,AF
n4937804324,Emergency Health Centre,34.579204,69.138037,AF
n5356117636,Rokhan University and hospital,34.438715,70.439272,AF
n5356128482,Jalalabad medical complex,34.436273,70.435667,AF
n5537100453,Emergency Health Centre,34.501655,69.081816,AF
n5537113562,Watan Hospital,34.501679,69.081692,AF
n5614604624,Emergency Health Centre,36.703511,67.114291,AF
n5628119639,Emergency Health Centre,34.5761,69.098308,AF
n5628227026,Emergency Health Centre,34.851945,69.161956,AF
n5628227038,Emergency Health Centre,34.612254,69.079251,AF
n5628227326,Emergency Health Centre,34.567532,69.121622,AF
n5700163285,شفاخانه كيشا فارابي,36.716095,67.10371,AF
n5973860093,شفاخانه عالمی,34.498862,69.060959,AF
n5973861583,شفاخانه امام زمان,34.498983,69.061372,AF
n5973874361,شفاخانه داکتر غضنفر,34.50921,69.058484,AF
n6041393995,DK - German Medical Diagnostic Centre,34.535027,69.163534,AF
n6383506445,شفاخانه خرمی,34.58836,69.085437,AF
n6557359962,شفاخانه صبا,34.342272,62.198096,AF
n6557359963,شفاخانه افغان آریا,34.341608,62.198644,AF
n6557777927,کلینک عبیدی,34.347861,62.18542,AF
n6565866840,Banki Khun,34.35036,62.195766,AF
n6609531888,یسرا روغتون,34.564393,69.144447,AF
n7098425520,شفاخانه امان یشفین,34.550867,69.146674,AF
n7138237319,شفاجو روغتون,34.535719,69.180124,AF
n7183733160,شفاخانه ملکی,33.598533,69.225555,AF
n7183733161,شفاخانه عسکری,33.595077,69.227018,AF
n7183733165,شفاخانه هیواد فیضی,33.594504,69.228535,AF
n7183733166,شفاخانه معالجوی رحمن,33.630228,69.230371,AF
n7183733167,شفاخانه حوزوی پکتبا,33.630814,69.232395,AF
n7183733168,شفاخانه معتادین,33.62496,69.227685,AF
n7183733169,شفاخانه معالجوی کیمزشفا,33.622898,69.229476,AF
n7183733170,شفاخانه حیات الله خالقیار,33.624541,69.227602,AF
n7207833590,DK-German Medical Centre,34.537221,69.157967,AF
n7232221324,Emergency Health Centre,34.477373,69.24418,AF
n7418446085,Emergency Health Centre,34.581072,69.084391,AF
n7418933586,شفاخانه آریا سیتی,34.55693,69.140324,AF
n7418934986,شفاخانه معالجوی آریانا دانشمل,34.556968,69.139951,AF
n7418938185,Emergency Health Centre,34.556342,69.150352,AF
n7575279487,Emergency Health Centre,34.534767,69.102994,AF
n7916805485,Emergency Health Centre,34.546623,69.143144,AF
